Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
15 Navarra, Comunidad Foral de;Total;2009;6.844
15 Navarra, Comunidad Foral de;Total;2008;7.029
15 Navarra, Comunidad Foral de;Total;2007;6.595
15 Navarra, Comunidad Foral de;Total;2006;6.551
15 Navarra, Comunidad Foral de;Total;2005;6.149
15 Navarra, Comunidad Foral de;Total;2004;6.293
15 Navarra, Comunidad Foral de;Total;2003;6.180
15 Navarra, Comunidad Foral de;Total;2002;5.802
16 País Vasco;Total;2020;14.743
16 País Vasco;Total;2019;15.449
16 País Vasco;Total;2018;16.100
16 País Vasco;Total;2017;17.077
16 País Vasco;Total;2016;18.247
16 País Vasco;Total;2015;18.849
16 País Vasco;Total;2014;19.379
16 País Vasco;Total;2013;19.116
16 País Vasco;Total;2012;20.533
16 País Vasco;Total;2011;21.155
16 País Vasco;Total;2010;21.170
16 País Vasco;Total;2009;20.905
16 País Vasco;Total;2008;21.310
16 País Vasco;Total;2007;20.594
16 País Vasco;Total;2006;20.026
16 País Vasco;Total;2005;19.698
16 País Vasco;Total;2004;19.574
16 País Vasco;Total;2003;19.270
16 País Vasco;Total;2002;18.134
17 Rioja, La;Total;2020;2.318
17 Rioja, La;Total;2019;2.408
17 Rioja, La;Total;2018;2.330
17 Rioja, La;Total;2017;2.566
17 Rioja, La;Total;2016;2.662
17 Rioja, La;Total;2015;2.732
17 Rioja, La;Total;2014;2.834
17 Rioja, La;Total;2013;2.903
17 Rioja, La;Total;2012;3.188
17 Rioja, La;Total;2011;3.172
17 Rioja, La;Total;2010;3.374
17 Rioja, La;Total;2009;3.330
17 Rioja, La;Total;2008;3.518
17 Rioja, La;Total;2007;3.272
17 Rioja, La;Total;2006;3.070
17 Rioja, La;Total;2005;3.038
17 Rioja, La;Total;2004;2.939
17 Rioja, La;Total;2003;2.870
17 Rioja, La;Total;2002;2.576
18 Ceuta;Total;2020;843
18 Ceuta;Total;2019;841
18 Ceuta;Total;2018;972
18 Ceuta;Total;2017;1.045
18 Ceuta;Total;2016;1.060
18 Ceuta;Total;2015;1.096
18 Ceuta;Total;2014;1.202
18 Ceuta;Total;2013;1.086
18 Ceuta;Total;2012;1.128
18 Ceuta;Total;2011;1.166
18 Ceuta;Total;2010;1.192
18 Ceuta;Total;2009;1.152
18 Ceuta;Total;2008;1.165
18 Ceuta;Total;2007;1.136
18 Ceuta;Total;2006;1.041
18 Ceuta;Total;2005;1.065
18 Ceuta;Total;2004;1.061
18 Ceuta;Total;2003;1.015
18 Ceuta;Total;2002;1.023
19 Melilla;Total;2020;962
19 Melilla;Total;2019;1.236
