Provincias;Sexo;Generación;Periodo;Total
02 Albacete;Ambos sexos;26 años;2020S1;-6
02 Albacete;Ambos sexos;26 años;2019S2;-37
02 Albacete;Ambos sexos;26 años;2019S1;-46
02 Albacete;Ambos sexos;26 años;2018S2;-26
02 Albacete;Ambos sexos;26 años;2018S1;-47
02 Albacete;Ambos sexos;26 años;2017S2;-33
02 Albacete;Ambos sexos;26 años;2017S1;-56
02 Albacete;Ambos sexos;26 años;2016S2;-31
02 Albacete;Ambos sexos;26 años;2016S1;-34
02 Albacete;Ambos sexos;26 años;2015S2;-42
02 Albacete;Ambos sexos;26 años;2015S1;-70
02 Albacete;Ambos sexos;26 años;2014S2;-49
02 Albacete;Ambos sexos;26 años;2014S1;-41
02 Albacete;Ambos sexos;26 años;2013S2;-37
02 Albacete;Ambos sexos;26 años;2013S1;-42
02 Albacete;Ambos sexos;26 años;2012S2;-49
02 Albacete;Ambos sexos;26 años;2012S1;-22
02 Albacete;Ambos sexos;26 años;2011S2;-50
02 Albacete;Ambos sexos;26 años;2011S1;-27
02 Albacete;Ambos sexos;26 años;2010S2;-20
02 Albacete;Ambos sexos;26 años;2010S1;-25
02 Albacete;Ambos sexos;26 años;2009S2;-26
02 Albacete;Ambos sexos;26 años;2009S1;-15
02 Albacete;Ambos sexos;26 años;2008S2;8
02 Albacete;Ambos sexos;26 años;2008S1;-14
02 Albacete;Ambos sexos;27 años;2021S1;-4
02 Albacete;Ambos sexos;27 años;2020S2;-25
02 Albacete;Ambos sexos;27 años;2020S1;-2
02 Albacete;Ambos sexos;27 años;2019S2;-41
02 Albacete;Ambos sexos;27 años;2019S1;-36
02 Albacete;Ambos sexos;27 años;2018S2;-35
02 Albacete;Ambos sexos;27 años;2018S1;-44
02 Albacete;Ambos sexos;27 años;2017S2;-42
02 Albacete;Ambos sexos;27 años;2017S1;-24
02 Albacete;Ambos sexos;27 años;2016S2;-21
02 Albacete;Ambos sexos;27 años;2016S1;-43
02 Albacete;Ambos sexos;27 años;2015S2;-31
02 Albacete;Ambos sexos;27 años;2015S1;-50
02 Albacete;Ambos sexos;27 años;2014S2;-40
02 Albacete;Ambos sexos;27 años;2014S1;5
02 Albacete;Ambos sexos;27 años;2013S2;-35
02 Albacete;Ambos sexos;27 años;2013S1;-12
02 Albacete;Ambos sexos;27 años;2012S2;-27
02 Albacete;Ambos sexos;27 años;2012S1;-29
02 Albacete;Ambos sexos;27 años;2011S2;-22
02 Albacete;Ambos sexos;27 años;2011S1;3
02 Albacete;Ambos sexos;27 años;2010S2;-25
02 Albacete;Ambos sexos;27 años;2010S1;-11
02 Albacete;Ambos sexos;27 años;2009S2;-23
02 Albacete;Ambos sexos;27 años;2009S1;-20
02 Albacete;Ambos sexos;27 años;2008S2;-23
02 Albacete;Ambos sexos;27 años;2008S1;-5
02 Albacete;Ambos sexos;28 años;2021S1;-1
02 Albacete;Ambos sexos;28 años;2020S2;-13
02 Albacete;Ambos sexos;28 años;2020S1;-20
02 Albacete;Ambos sexos;28 años;2019S2;-40
02 Albacete;Ambos sexos;28 años;2019S1;-34
02 Albacete;Ambos sexos;28 años;2018S2;-44
02 Albacete;Ambos sexos;28 años;2018S1;-57
02 Albacete;Ambos sexos;28 años;2017S2;-41
02 Albacete;Ambos sexos;28 años;2017S1;-21
02 Albacete;Ambos sexos;28 años;2016S2;-15
02 Albacete;Ambos sexos;28 años;2016S1;-29
02 Albacete;Ambos sexos;28 años;2015S2;-30
02 Albacete;Ambos sexos;28 años;2015S1;-52
02 Albacete;Ambos sexos;28 años;2014S2;-50
02 Albacete;Ambos sexos;28 años;2014S1;-14
02 Albacete;Ambos sexos;28 años;2013S2;-20
02 Albacete;Ambos sexos;28 años;2013S1;-19
02 Albacete;Ambos sexos;28 años;2012S2;-21
02 Albacete;Ambos sexos;28 años;2012S1;-10
02 Albacete;Ambos sexos;28 años;2011S2;-34
02 Albacete;Ambos sexos;28 años;2011S1;-14
02 Albacete;Ambos sexos;28 años;2010S2;-17
02 Albacete;Ambos sexos;28 años;2010S1;-6
02 Albacete;Ambos sexos;28 años;2009S2;-4
02 Albacete;Ambos sexos;28 años;2009S1;-20
02 Albacete;Ambos sexos;28 años;2008S2;-9
02 Albacete;Ambos sexos;28 años;2008S1;-53
02 Albacete;Ambos sexos;29 años;2021S1;-19
02 Albacete;Ambos sexos;29 años;2020S2;-34
02 Albacete;Ambos sexos;29 años;2020S1;-6
02 Albacete;Ambos sexos;29 años;2019S2;-35
02 Albacete;Ambos sexos;29 años;2019S1;-46
02 Albacete;Ambos sexos;29 años;2018S2;-37
02 Albacete;Ambos sexos;29 años;2018S1;-33
02 Albacete;Ambos sexos;29 años;2017S2;-32
02 Albacete;Ambos sexos;29 años;2017S1;-38
02 Albacete;Ambos sexos;29 años;2016S2;-27
02 Albacete;Ambos sexos;29 años;2016S1;-30
02 Albacete;Ambos sexos;29 años;2015S2;-40
02 Albacete;Ambos sexos;29 años;2015S1;-29
02 Albacete;Ambos sexos;29 años;2014S2;-58
02 Albacete;Ambos sexos;29 años;2014S1;-22
02 Albacete;Ambos sexos;29 años;2013S2;-37
02 Albacete;Ambos sexos;29 años;2013S1;-19
02 Albacete;Ambos sexos;29 años;2012S2;-30
02 Albacete;Ambos sexos;29 años;2012S1;-12
02 Albacete;Ambos sexos;29 años;2011S2;-24
